Product,Occurrences
1,1
2,1
3,1
4,2
5,1
6,2
7,1
8,2
9,2
10,2
11,0
12,2
13,0
14,1
15,1
16,2
17,0
18,2
19,0
20,2
21,1
22,0
23,0
24,2
25,1
26,0
27,1
28,1
29,0
30,2
31,0
32,1
33,0
34,0
35,1
36,2
37,0
38,0
39,0
40,2
41,0
42,1
43,0
44,0
45,1
46,0
47,0
48,1
49,1
50,1
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,0
66,0
67,0
68,0
69,0
70,1
71,0
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,1
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,1
